rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_category
543808,369230,mobile,ended,75.0,
543984,313085,mobile,ended,-44.0,
544197,387939,connect,ended,39.0,
544443,337047,mobile,ended,56.0,
544489,405565,mobile,canceled,canceled,Annulé
544586,312389,mobile,ended,31.0,
544617,367627,mobile,ended,-23.0,
544642,176755,mobile,canceled,canceled,Annulé
544777,387810,connect,ended,50.0,
544937,348400,mobile,ended,108.0,
544967,373545,mobile,ended,56.0,
544980,350135,mobile,ended,-2.0,
545064,194343,connect,ended,74.0,
545068,374684,mobile,ended,-31.0,
545171,292910,mobile,ended,7.0,
545202,367365,connect,canceled,canceled,Annulé
545272,370585,connect,ended,-98.0,
545319,353251,mobile,ended,93.0,
545320,224133,mobile,ended,20.0,
545333,217777,connect,canceled,canceled,Annulé
545640,312840,connect,canceled,canceled,Annulé
545741,409096,mobile,ended,20.0,
545763,366310,mobile,ended,69.0,
545782,382901,mobile,ended,-9.0,
545922,409695,mobile,ended,-80.0,
545947,396470,mobile,ended,-44.0,
546024,381038,mobile,ended,163.0,
546150,242106,mobile,ended,-2.0,
546160,352528,connect,canceled,canceled,Annulé
546169,409274,mobile,ended,10.0,
546252,408509,mobile,ended,-52.0,
546365,384056,mobile,canceled,canceled,Annulé
546477,383309,mobile,ended,16.0,
546484,409391,mobile,ended,92.0,
546491,366448,mobile,canceled,canceled,Annulé
546564,392732,mobile,ended,7.0,
546745,342645,connect,ended,-55.0,
546822,394781,mobile,ended,30.0,
546888,295783,connect,ended,84.0,
546935,348526,connect,ended,85.0,
546938,410452,mobile,ended,10.0,
546957,405122,mobile,ended,-113.0,
547072,395489,mobile,canceled,canceled,Annulé
547122,385574,connect,ended,-5.0,
547160,409344,mobile,ended,1.0,
547198,381684,mobile,ended,145.0,
547223,188944,connect,ended,8.0,
547236,392147,mobile,ended,-8.0,
547348,374614,mobile,ended,74.0,
547557,408406,mobile,ended,126.0,
548028,409718,mobile,ended,15.0,
548177,411835,mobile,canceled,canceled,Annulé
548215,367346,mobile,ended,-8.0,
548352,409458,mobile,ended,195.0,
548355,375311,mobile,canceled,canceled,Annulé
548453,374241,mobile,canceled,canceled,Annulé
548598,288973,mobile,ended,-133.0,
548603,363820,mobile,ended,-22.0,
548646,282893,mobile,ended,201.0,
548702,406104,mobile,ended,21.0,
548904,373316,mobile,ended,-40.0,
548973,227830,mobile,canceled,canceled,Annulé
549047,369608,mobile,ended,-37.0,
549135,394752,mobile,canceled,canceled,Annulé
549261,360829,mobile,ended,-12.0,
549266,411687,mobile,ended,-11.0,
549273,175887,connect,ended,-26.0,
549290,364907,connect,ended,-49.0,
549345,369881,connect,ended,22.0,
549444,177058,mobile,ended,144.0,
549446,391174,mobile,ended,69.0,
549499,408814,mobile,ended,19.0,
549558,328016,mobile,ended,10.0,
549579,273263,mobile,ended,-5.0,
549674,390702,connect,ended,-127.0,
549692,358131,mobile,ended,-158.0,
549808,310219,connect,ended,54.0,
549874,409690,mobile,ended,3.0,
549901,383481,mobile,ended,201.0,
549923,407730,mobile,ended,167.0,
550000,378182,mobile,ended,-136.0,
550134,294883,mobile,ended,-158.0,
550211,407838,mobile,ended,20.0,
550224,358567,connect,ended,-7.0,
550246,408578,mobile,ended,-15.0,
550248,382901,mobile,ended,-127.0,
550459,295815,mobile,ended,82.0,
550537,239798,connect,ended,37.0,
550660,399967,mobile,ended,0.0,
550808,346652,connect,ended,-41.0,
550929,310681,connect,ended,-25.0,
550964,229360,mobile,canceled,canceled,Annulé
551040,383343,mobile,ended,40.0,
551069,359880,connect,ended,-22.0,
